id,class,family,family_cname,cname,name,fullname,is_endemic,iucn_category,source
380562,哺乳綱,Rhinolophidae,蹄鼻蝠科,臺灣小蹄鼻蝠,Rhinolophus monoceros,"Rhinolophus monoceros K. Andersen, 1905 ",1,LC,原生
416110,哺乳綱,Pteropodidae,狐蝠科,棕果蝠,Rousettus leschenaultii,"Rousettus leschenaultii Desmarest, 1830 ",0,NA,原生
433212,哺乳綱,Cervidae,鹿科,臺灣水鹿,Rusa unicolor swinhoii,"Rusa unicolor swinhoii Sclater, 1862 ",1,NT,原生
380577,哺乳綱,Vespertilionidae,蝙蝠科,高頭蝠,Scotophilus kuhlii,"Scotophilus kuhlii Leach, 1822 ",0,LC,原生
380541,哺乳綱,Delphinidae,海豚科,中華白海豚,Sousa chinensis,"Sousa chinensis Osbeck, 1765 ",0,NA,原生
444035,哺乳綱,Delphinidae,海豚科,臺灣白海豚,Sousa chinensis taiwanensis,"Sousa chinensis taiwanensis Osbeck, 1765 ",0,NA,原生
380542,哺乳綱,Delphinidae,海豚科,熱帶斑海豚,Stenella attenuata,"Stenella attenuata Gray, 1846 ",0,NA,原生
380543,哺乳綱,Delphinidae,海豚科,條紋海豚,Stenella coeruleoalba,"Stenella coeruleoalba Meyen, 1833 ",0,NA,原生
380544,哺乳綱,Delphinidae,海豚科,長吻飛旋海豚,Stenella longirostris,"Stenella longirostris Gray, 1828 ",0,NA,原生
380545,哺乳綱,Delphinidae,海豚科,糙齒海豚,Steno bredanensis,"Steno bredanensis G. Cuvier in Lesson, 1828 ",0,NA,原生
430163,哺乳綱,Vespertilionidae,蝙蝠科,寬吻鼠耳蝠,Submyotodon latirostris,"Submyotodon latirostris Kishida, 1932 ",1,LC,原生
380586,哺乳綱,Soricidae,尖鼠科,臭鼩,Suncus murinus,"Suncus murinus Linnaeus, 1766 ",0,LC,原生
380516,哺乳綱,Suidae,豬科,臺灣野豬,Sus scrofa taivanus,"Sus scrofa taivanus Swinhoe, 1863 ",1,LC,原生
416083,哺乳綱,Molossidae,游離尾蝠科,東亞游離尾蝠,Tadarida insignis,"Tadarida insignis Rafinesque, 1814 ",0,LC,原生
380609,哺乳綱,Sciuridae,松鼠科,條紋松鼠,Tamiops maritimus formosanus,"Tamiops maritimus formosanus Bonhote, 1900 ",1,LC,原生
380546,哺乳綱,Delphinidae,海豚科,印太瓶鼻海豚,Tursiops aduncus,"Tursiops aduncus Ehrenberg, 1833 ",0,NA,原生
380547,哺乳綱,Delphinidae,海豚科,瓶鼻海豚,Tursiops truncatus,"Tursiops truncatus Montagu, 1821 ",0,NA,原生
380525,哺乳綱,Ursidae,熊科,臺灣黑熊,Ursus thibetanus formosanus,"Ursus thibetanus formosanus Swinhoe, 1864 ",1,EN,原生
380578,哺乳綱,Vespertilionidae,蝙蝠科,霜毛蝠,Vespertilio sinensis,"Vespertilio sinensis Peters, 1880 ",0,EN,原生
380527,哺乳綱,Viverridae,靈貓科,麝香貓,Viverricula indica taivana,"Viverricula indica taivana Schwarz, 1911 ",1,VU,原生
